"year","m","month","variable","pc1","pc2"
1955,9,"Sep","sst",-1.54955912828427,0.552992937188652
1955,10,"Oct","sst",-2.26882189427344,0.767761836074942
1955,11,"Nov","sst",-1.73412435142197,0.775555858450901
1955,12,"Dec","sst",-1.07379028958475,0.859911355400464
1956,1,"Jan","sst",-1.12379188594598,0.937265139226672
1956,2,"Feb","sst",-1.26672858232336,1.03508888863214
1956,3,"Mar","sst",-1.88426586456117,1.19776690779046
1956,4,"Apr","sst",-1.3942108588351,1.08212274461892
1956,5,"May","sst",-0.499573124293902,0.875103683261587
1956,6,"Jun","sst",-1.14679822673284,0.808302978963311
1956,7,"Jul","sst",-0.60002425854811,0.869491674712297
1956,8,"Aug","sst",0.101247983028196,1.00587950904366
1956,9,"Sep","sst",0.427469862489208,-0.133439070983741
