"year","m","pc1","pc2"
2007,2,-0.417113829639209,-0.964783068609639
2007,3,-0.844606753540693,-0.633601111943325
2007,4,-0.523736510304804,-1.0056290191284
2008,2,-1.83043404213783,-1.13088631194276
2008,3,-1.47601907094609,-1.30524508363114
2008,4,-1.85333060191049,-1.2624974045875
2009,2,-1.33063406131597,0.638245363182471
2009,3,-1.65590409265147,0.415854464122228
2009,4,-1.92298208216145,0.320057826236804
2010,2,0.521125840114766,-0.742300161440026
2010,3,0.172525819855202,-1.15399472729042
2010,4,-0.0423682890171604,-1.35691190127556
2011,2,-1.13427825354304,0.217033924067403
2011,3,-1.20814401262906,-0.116868617998866
2011,4,-1.17947627101319,-0.254286546566778
2012,2,-1.53119937921981,-0.178459299840374
2012,3,-1.81455556921599,-0.703398578589053
2012,4,-1.2112059480592,-0.954275096768281
2013,2,-1.58827215129758,-0.702697470428794
2013,3,-1.42377394716338,-0.539041081500739
2013,4,-0.726530942685317,0.17337914234027
2014,2,0.107510642942663,2.14069824141975
2014,3,0.812920199498671,1.35151778635007
2014,4,0.682010207835374,0.898319266610437
2015,2,2.04650380904824,1.48880253776284
2015,3,2.19247020136313,1.8767644429806
2015,4,1.69967736489052,1.4590540872971
2016,2,1.34510431643372,-1.22592694401657
2016,3,1.84821391583482,-1.33585252068551
2016,4,2.09727127876484,-0.969075020170382
2017,2,0.054621668952506,-1.04818453539845
2017,3,0.111489454441326,-0.273532405013923
2017,4,0.350314320422686,-0.524649446389925
2018,2,0.0123707231861749,0.730890216760604
2018,3,-0.337999825506701,0.623699699515639
2018,4,0.0101920507169052,1.05655181967862
2019,2,-0.146283908206057,0.034843145766248
2019,3,0.150042305374919,-0.30318868620704
2019,4,0.488908297246532,0.10997877218579
2020,2,-0.809687809370114,0.537669888325631
2020,3,-1.1057168676772,0.644658622097645
2020,4,-0.689733879024028,1.6597436249194
2021,2,-0.917853791330557,-0.154375185406035
2021,3,-1.31794983014003,-0.263021097012332
2021,4,-1.15533201777511,0.499943985248968
