LAT,LONG,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
24N,113W,2008,28,26,60,95,56,24,-7,34,52,20,60,35
24N,113W,2009,39,58,61,88,19,84,10,54,-20,-49,-2,-10
24N,113W,2010,-34,-7,-33,-30,85,76,96,41,70,94,38,25
24N,113W,2011,24,19,64,57,110,91,58,29,51,84,15,10
24N,113W,2012,19,8,23,92,114,60,39,-29,-46,7,45,38
24N,113W,2013,20,46,40,54,18,-15,18,-13,90,0,7,18
24N,113W,2014,-1,10,23,11,-23,-38,-9,-32,-35,-18,-5,8
24N,113W,2015,-28,-35,-46,2,-22,-16,-2,31,-44,-25,3,34
24N,113W,2016,9,1,31,6,49,-32,-20,12,-14,16,36,16
24N,113W,2017,17,-3,51,57,40,21,1,42,29,44,26,-3
24N,113W,2018,-4,-47,45,35,84,-17,34,-7,-27,-1,5,15
24N,113W,2019,-8,12,12,37,66,39,21,-3,6,8,-24,5
24N,113W,2020,26,-1,5,45,47,20,5,-28,-32,-18,22,6
24N,113W,2021,-17,22,40,74,39,24,11,,,,,
999,9,,,,,,,,,,,,,
27N,116W,1946,-18,-41,0,17,130,99,57,36,59,-45,-30,-29
27N,116W,1947,42,-31,19,10,-99,-45,97,25,-49,-5,-16,2
27N,116W,1948,-15,-16,-20,-29,17,-40,-11,-8,-26,-14,-13,-36
27N,116W,1949,-35,44,15,23,-15,-41,-23,16,-54,-22,-6,-16
27N,116W,1950,-2,14,-2,7,-11,-15,-62,21,-3,-28,15,34
27N,116W,1951,59,38,-12,-17,31,59,1,-16,37,17,27,-9
27N,116W,1952,-1,-35,-11,-37,-22,-44,-30,-33,-42,-35,-10,-23
27N,116W,1953,-17,-19,33,35,54,79,3,97,88,113,91,77
27N,116W,1954,15,29,-47,88,-34,-17,-46,12,-12,1,-21,25
27N,116W,1955,12,-6,7,101,30,75,76,16,92,130,24,34
27N,116W,1956,24,14,85,15,66,68,41,90,46,54,-7,-7
27N,116W,1957,-38,19,27,30,-11,11,47,-5,107,38,45,73
27N,116W,1958,102,62,38,65,87,102,44,-8,19,-1,36,5
27N,116W,1959,49,-45,39,11,-26,78,32,-5,5,42,-7,-41
27N,116W,1960,6,27,41,-46,34,-84,-52,-27,-58,-30,-27,-10
27N,116W,1961,-36,44,43,-16,1,-55,-56,-35,-71,-37,-29,-26
27N,116W,1962,-37,-39,-26,2,0,-2,34,3,16,-5,26,-19
27N,116W,1963,-40,-22,-9,2,-34,-34,13,-1,-68,-38,14,0
27N,116W,1964,11,-13,-23,-2,53,47,25,12,-5,-39,-12,36
27N,116W,1965,-21,-20,-75,-114,-76,-70,-26,-65,-61,-63,-67,-42
27N,116W,1966,-28,-60,-79,-112,-125,-100,-23,-72,-41,-72,-43,-19
27N,116W,1967,-1,-11,-23,-7,-21,-24,18,0,31,-9,-39,-29
27N,116W,1968,-21,-48,-30,-56,-59,-61,-11,-11,-12,0,32,3
27N,116W,1969,-49,-23,50,20,-20,-52,29,17,1,3,-59,15
27N,116W,1970,10,-59,-27,5,16,-33,-5,28,-5,1,10,32
27N,116W,1971,28,41,53,46,-21,-12,-16,-36,29,15,100,71
27N,116W,1972,49,45,80,88,-6,-33,-13,-47,-16,-42,3,18
27N,116W,1973,34,-65,53,33,-54,-57,-24,10,28,0,42,34
27N,116W,1974,-15,12,4,60,6,-35,-47,10,-16,-26,-14,-24
27N,116W,1975,-28,-9,8,35,-37,-34,-15,10,7,27,25,-23
27N,116W,1976,-44,-42,8,10,13,19,28,65,-53,-48,-46,-46
27N,116W,1977,-61,17,70,58,22,57,21,29,4,-12,0,-37
27N,116W,1978,-35,-50,-46,30,-29,-20,14,8,-15,7,-10,-32
